CustomerID,CustomerName,Email,Phone,Address,City,Country,PostalCode,DateOfBirth,Gender,RegistrationDate,Status
4532,John Hays MD,marcus70@graham.com,991-960-5784x121,"55120 Bishop Burgs Suite 411
Larsonshire, WA 84349",Lake Kyle,Tunisia,83776,1982-11-07,Male,2020-11-01,Inactive
5073,William Gentry,taylor99@mckenzie.com,+1-247-199-1546x98137,"003 Crawford Keys Apt. 572
Knightshire, AZ 66053",West Catherinefort,Bahrain,84125,1930-10-05,Male,2022-03-26,Inactive
5161,Eric Salinas,zphillips@yahoo.com,+1-253-382-6373x92970,"USNV Taylor
FPO AE 87469",Whiteburgh,Suriname,63132,1928-07-22,Male,2022-01-03,Inactive
5262,Elizabeth Bauer,cromero@hotmail.com,(206)176-9839x76021,"Unit 1877 Box 4198
DPO AE 73132",North Crystal,Ukraine,66948,1929-01-12,Male,2021-01-24,Active
5065,Frances Marshall,katherine83@thomas.com,(509)046-2152,"0824 Omar Wall
Lake Carolyn, PA 87689",Amberport,Nigeria,16667,1936-12-07,Male,2023-07-14,Inactive
2910,Ryan Williams,vbell@hotmail.com,001-180-561-7468x39124,"7113 Thompson Ways Suite 381
Lake Claudiaview, IN 23234",Ramirezhaven,Palestinian Territory,09910,1920-05-30,Female,2021-06-07,Inactive
7501,Mitchell Burke,cantrellsarah@greer-lynn.com,001-452-601-1183x3936,"7820 Mcgrath Glens Apt. 099
Andreaview, SC 44055",West Kevin,Azerbaijan,65844,2002-07-31,Male,2021-11-13,Inactive
5431,Vicki Smith,brianna01@herrera.com,(845)105-5806x8350,"2954 Karen Key
Lake Jessica, HI 48569",Port Mario,Japan,66201,2005-08-25,Male,2020-12-03,Inactive
2592,Lawrence Howell,kevin66@hernandez.info,814-500-4902,"91367 Derek Lodge
Jonesfurt, NY 34257",Newtonfurt,Chile,14532,1960-10-26,Female,2022-12-06,Active
7132,Deanna Martinez,williammccarty@wilson.org,(195)843-1096x84750,"752 Kevin Dam Apt. 082
Perryfurt, MA 08306",Martinezborough,Central African Republic,15683,1911-11-01,Female,2021-03-29,Inactive
9532,Kevin Stout,nancy65@gmail.com,450-536-9857x002,"379 Nelson Mountain
New Maryfurt, OH 98446",Ruizmouth,United States of America,57680,1967-04-01,Male,2021-12-18,Active
2432,Thomas West,angelahoward@garcia-bishop.com,535.909.5150,"31634 Maldonado Path
New Brianstad, OR 41405",West Randy,Switzerland,72882,1961-05-07,Female,2020-12-07,Active
7103,Jeremy Brown,kingjill@turner.com,837-572-1996x064,"6096 Adam Mission
East Rebecca, KY 49064",Garcialand,Slovenia,90873,1909-06-19,Female,2021-11-10,Active
9503,Paul Silva,williammahoney@hotmail.com,(365)738-5427x16912,"2140 Michaela Glens
Kellyburgh, NC 43608",Randyview,Philippines,91338,1923-07-29,Female,2023-02-28,Active
115,Deanna Wiggins,edwardsloretta@sanchez-gonzalez.biz,8219075644,"7758 Debbie Streets
North Sarahhaven, VA 29715",Millsview,Armenia,37631,1970-04-18,Female,2023-10-06,Inactive
1380,Francisco Sutton,qhughes@king.com,001-987-550-1802x7850,"04783 Chelsea Cliff Suite 811
Zacharybury, IA 58620",East Stephanieside,Somalia,65182,1946-11-19,Male,2022-11-04,Inactive
1900,Mrs. Vanessa Hoover MD,cbaker@stewart.com,535.890.4310,"105 Wright Drives Suite 134
West Jason, MT 42031",Andreaberg,Maldives,24899,2008-12-22,Female,2021-08-19,Active
2243,Sarah Gutierrez,pcampos@hotmail.com,001-429-702-1147x8813,"006 Garcia Fords Suite 410
West Michaelfurt, AL 39037",New Ericfort,United States of America,38119,1961-04-27,Male,2022-12-29,Inactive
6467,Lindsay Pham,robertjones@gmail.com,001-049-087-9366x28910,"94662 Matthew Harbor
Port Amy, AZ 91219",Richborough,Guadeloupe,59753,2016-10-06,Female,2024-04-09,Inactive
9382,Amy Richards,ibooth@reynolds.info,6717002057,"225 Ronald Street Apt. 057
Robertborough, IL 29268",Kellyton,Austria,49770,1959-10-28,Female,2020-08-31,Inactive
9360,Debra Jones,barberjoshua@hotmail.com,303.991.9952,"PSC 9272, Box 8210
APO AE 78860",East Lynnville,Sierra Leone,44958,1926-09-02,Female,2024-02-05,Active
7609,Kevin Martinez,billyrosales@alexander-oneal.biz,531-818-0490,"449 Veronica Squares Suite 208
New Kristineborough, MN 39231",Crystalland,Guyana,24170,1925-10-09,Female,2024-01-29,Active
6746,Carl Ware,zcooper@yahoo.com,(388)261-7086,"034 Paul Flats Apt. 016
Lisabury, UT 39979",South Nicolefurt,Romania,17368,1934-10-06,Male,2020-07-04,Inactive
421,Timothy Haynes,dfrank@gonzalez.com,+1-601-723-1621,"0904 Moore Cove Apt. 548
New Marcside, OH 14589",Robinsontown,Bulgaria,09976,2022-02-23,Female,2020-12-04,Inactive
1572,Tara Martin,meyercaitlin@ramsey.com,(977)420-8209x97016,"68407 Daniel Valleys Suite 495
Stephensonberg, GA 09450",South Danielfurt,Indonesia,83473,1994-09-14,Female,2024-01-28,Inactive
