SaleID,CustomerID,ProductDetailID,SaleDate,Quantity,UnitPrice,TotalAmount,Discount,PaymentMethod,ShippingAddress,SalesRepID,Status
8342,491,176,2024-01-02,18,656.29,11813.22,1060.75,Credit Card,"8969 Gonzalez Mountains
Stephanieport, MS 21365",14,Pending
8989,601,374,2024-04-26,22,185.16,4073.52,75.22,Debit Card,"696 Sullivan Field
Lake Jessicaland, OR 18959",39,Pending
9719,229,344,2024-06-15,31,170.23,5277.13,475.81,Bank Transfer,"677 Allison Gateway Suite 559
Port Noahtown, AL 30773",36,Pending
1045,86,8,2024-06-09,32,850.71,27222.72,1376.81,Credit Card,"0821 Garza Spur Suite 828
North Richardfurt, NC 02887",7,Completed
7853,422,441,2024-03-27,100,613.81,61381.0,4459.61,Credit Card,"99259 Nicholas Burg Suite 390
New Kari, WV 67543",42,Cancelled
9549,528,396,2024-03-14,51,942.4,48062.4,3559.67,Credit Card,"2640 Cherry Drive Apt. 834
West Tylershire, WA 95360",22,Pending
906,267,327,2024-02-22,39,528.64,20616.96,1936.41,Debit Card,"6973 Mora Locks
Jamesmouth, MI 01981",29,Pending
1464,635,185,2024-04-09,51,382.01,19482.51,1663.62,Bank Transfer,"04093 Williams Shores
Evanview, GA 10739",46,Cancelled
4575,374,127,2024-04-27,31,651.03,20181.93,1018.22,PayPal,"2944 Donna Terrace
Johnsonmouth, WY 78700",17,Pending
587,615,493,2024-04-21,3,661.33,1983.99,100.33,Credit Card,"3828 Sharon Station Apt. 399
Whiteland, MA 54793",2,Cancelled
5984,446,172,2024-01-22,53,734.63,38935.39,2482.75,Bank Transfer,"6040 Jerry Route
Butlerside, MN 67996",10,Completed
4479,615,425,2024-02-22,5,266.84,1334.2,56.18,Credit Card,"58925 Shawn Fork
Herrerahaven, AR 53568",37,Completed
1740,892,40,2024-02-23,83,376.44,31244.52,561.71,PayPal,"USNV Jones
FPO AP 22400",21,Pending
1914,776,335,2024-02-10,19,874.66,16618.54,647.75,Credit Card,"968 Rollins View Suite 668
Brownbury, OH 32809",26,Cancelled
2838,694,26,2024-01-15,32,148.6,4755.2,91.97,Debit Card,"965 Anna Plaza
Port Toddborough, DC 40110",48,Completed
5268,152,166,2024-01-10,68,600.63,40842.84,362.51,PayPal,"56027 Brandon Village Apt. 206
Murphyborough, NM 63349",30,Cancelled
6751,988,392,2024-01-27,52,27.35,1422.2,101.72,Debit Card,"4374 Chung Isle Suite 062
Lake Barbaraland, NH 56889",3,Pending
5092,48,122,2024-02-11,58,886.06,51391.48,336.98,Debit Card,"709 Anne Highway Apt. 512
Ballshire, MN 19955",4,Cancelled
7671,367,176,2024-01-10,77,160.58,12364.66,494.9,Bank Transfer,"60979 Riley Trail
Port Elizabethside, PA 37230",5,Completed
2942,503,80,2024-01-19,33,941.1,31056.3,1924.41,Credit Card,"13328 Samuel Ways Apt. 032
Jerryville, RI 13952",33,Completed
783,140,483,2024-03-15,52,325.01,16900.52,341.02,Credit Card,"515 Bartlett Summit
Crosbystad, CA 64377",2,Completed
3508,125,409,2024-02-20,61,418.15,25507.15,670.55,PayPal,"783 Christine Roads Apt. 960
Jeanettechester, WI 96659",23,Completed
6713,140,381,2024-01-27,70,342.74,23991.8,1561.94,Bank Transfer,"3857 Jordan Fort Apt. 467
Henrychester, MS 95317",46,Pending
639,222,75,2024-04-14,84,384.77,32320.68,1403.15,Bank Transfer,"USCGC Matthews
FPO AE 49256",48,Cancelled
1482,464,103,2024-04-01,27,763.57,20616.39,580.41,Debit Card,"373 Carol Trail
Port Jonathan, NV 82220",21,Completed
5441,559,234,2024-03-01,6,919.71,5518.26,264.62,Credit Card,"98449 Velasquez Forges
West Donna, DC 99585",36,Pending
2201,36,479,2024-02-10,60,576.72,34603.2,3188.49,Credit Card,"USNV Armstrong
FPO AA 00615",44,Pending
643,759,290,2024-03-18,5,436.02,2180.1,66.45,Credit Card,"5904 Butler Shoals Apt. 222
Lake Tara, ID 39864",19,Pending
3103,859,18,2024-03-06,67,236.89,15871.63,1149.64,Credit Card,"9652 Rivas Mountain Apt. 988
Port Paige, OK 15064",49,Pending
8265,393,358,2024-02-21,87,278.88,24262.56,2212.46,Debit Card,"2055 Thomas Lodge
Kennedyview, MA 91040",4,Cancelled
5341,405,472,2024-01-30,69,464.69,32063.61,2413.49,Bank Transfer,"23464 King Rapids Apt. 275
East Angelshire, ID 90576",47,Completed
9282,431,470,2024-05-13,33,613.05,20230.65,701.8,Credit Card,"95254 Charles Lodge
East Brianbury, AK 22456",29,Completed
981,855,267,2024-04-19,2,168.51,337.02,4.61,Debit Card,"136 Moore Pass
Garretttown, MO 45423",39,Completed
7529,252,194,2024-02-20,1,156.96,156.96,2.01,Debit Card,"3344 Victoria Meadows
Lake Matthewtown, AL 64223",13,Completed
2754,15,347,2024-04-01,32,318.79,10201.28,121.35,Credit Card,"1744 Lewis Shore Apt. 710
East Lauriestad, PA 73201",15,Completed
9449,591,263,2024-05-10,93,945.09,87893.37,8045.98,Bank Transfer,"8668 Molina Track
Jasonburgh, WV 84116",33,Pending
70,216,96,2024-05-28,20,816.67,16333.4,958.98,Credit Card,"907 Hawkins Route
Jacquelinemouth, WA 68320",46,Cancelled
8470,743,50,2024-01-12,96,152.32,14622.72,951.93,PayPal,"94907 Hickman Estate Apt. 280
East Lauraburgh, WV 88818",31,Pending
652,42,176,2024-02-02,74,50.52,3738.48,311.96,Bank Transfer,"04198 Angela Well Apt. 525
Perezfort, MD 88874",1,Pending
3917,896,325,2024-05-15,3,370.28,1110.84,40.75,Debit Card,"USS Morgan
FPO AE 74338",19,Completed
5047,98,415,2024-05-15,28,798.37,22354.36,1686.2,Bank Transfer,"598 Deanna Vista Apt. 265
North Molly, WI 76970",21,Cancelled
8226,867,185,2024-06-14,60,997.59,59855.4,1635.59,Credit Card,"90882 Cook Drive
North Frank, FL 92303",36,Completed
5336,449,155,2024-03-03,99,339.52,33612.48,1508.65,Debit Card,"9942 Natasha Spur
Jensenville, MD 39056",44,Pending
5436,730,38,2024-02-06,68,608.34,41367.12,2796.76,Bank Transfer,"165 Richard Fields
East Karenfurt, MO 27283",20,Pending
2687,616,197,2024-04-25,69,881.89,60850.41,5937.15,Debit Card,"Unit 5875 Box 9280
DPO AA 09774",24,Cancelled
2612,955,205,2024-04-30,43,165.9,7133.7,404.11,Credit Card,"459 Ingram Corner
Michaelland, DE 57487",1,Pending
8543,991,176,2024-04-21,43,667.91,28720.13,1693.06,PayPal,"1517 Gonzalez Squares Apt. 654
Jamiefurt, LA 39914",36,Completed
4979,798,109,2024-04-23,40,599.36,23974.4,2340.17,Credit Card,"1527 Kyle Summit
Justinview, NJ 18240",33,Pending
9101,841,352,2024-03-08,4,35.8,143.2,12.5,Debit Card,"73567 Glen Mountain
Maryton, NE 03277",14,Cancelled
8919,796,69,2024-05-22,40,384.58,15383.2,1212.7,Credit Card,"229 Albert Ridges Apt. 905
North Lisa, AR 77759",25,Cancelled
8399,222,401,2024-05-21,97,420.01,40740.97,169.62,Credit Card,"47882 Brittany Cove Apt. 497
Ellishaven, NV 76858",14,Pending
4841,312,384,2024-03-10,65,790.09,51355.85,2217.04,PayPal,"55751 Anna Mission
Lake Jesse, CA 61596",40,Pending
9888,445,373,2024-02-03,70,673.37,47135.9,4361.56,Debit Card,"828 Erika Glens Suite 810
North Aaron, OR 80540",43,Completed
9735,322,349,2024-06-11,25,98.49,2462.25,140.86,PayPal,"41540 Tristan Junction
Batesview, MI 86119",33,Completed
297,957,234,2024-02-03,68,104.21,7086.28,17.96,Credit Card,"65404 Farmer Keys Apt. 794
East Deborah, MT 83010",26,Cancelled
2562,277,114,2024-03-02,25,831.27,20781.75,1012.44,Debit Card,"1715 David Mountain
New Cory, IL 03943",49,Pending
2962,374,266,2024-02-26,58,201.25,11672.5,122.84,Bank Transfer,"8429 Erica Tunnel
Jenniferport, KS 14019",5,Pending
1419,509,412,2024-05-08,34,425.23,14457.82,80.5,PayPal,"9897 Wilson View Apt. 117
Sanfordmouth, RI 00707",32,Cancelled
1054,53,486,2024-06-07,67,206.35,13825.45,1201.77,Debit Card,"578 Lee Road
Lake Kristinashire, MA 03767",22,Completed
7414,335,89,2024-01-18,63,533.81,33630.03,1820.55,PayPal,"3716 Wilkerson Radial
Garciashire, FL 34973",50,Pending
6470,607,343,2024-01-17,18,659.08,11863.44,903.44,Credit Card,"838 Harrison Mountains
Kevinshire, AL 92676",47,Completed
2563,481,349,2024-01-10,32,535.76,17144.32,1067.54,Credit Card,"335 Owen Crossroad
Walshmouth, OK 00700",4,Completed
4203,1,18,2024-05-19,41,166.32,6819.12,412.17,Debit Card,"1345 Clark Gateway
Danielbury, WA 95623",5,Completed
1927,899,267,2024-06-07,13,392.03,5096.39,162.14,PayPal,"0595 Lee Stravenue
West Jessicabury, MN 60282",3,Completed
6080,777,10,2024-06-07,13,691.14,8984.82,299.49,Debit Card,"58847 Joseph Squares
Monicaville, MS 84504",11,Completed
5,213,246,2024-01-16,100,899.27,89927.0,6759.79,Bank Transfer,"548 Paul Plaza
Davisfort, ID 13067",1,Completed
1768,669,114,2024-05-22,31,465.69,14436.39,807.32,PayPal,"27452 Wade Walks Suite 108
Stanleytown, AL 89825",38,Pending
1620,196,232,2024-02-25,88,72.68,6395.84,53.33,PayPal,"122 Jacob Course Suite 587
Johnshire, WA 62864",33,Pending
4388,409,400,2024-04-27,91,403.44,36713.04,1245.3,Debit Card,"20660 Miller Corners Suite 417
Edwardburgh, KS 12548",18,Completed
4209,793,62,2024-04-24,94,597.05,56122.7,3476.79,Bank Transfer,"029 Holmes Isle Apt. 431
Gillespiestad, VT 21721",7,Pending
5582,880,313,2024-02-18,46,983.17,45225.82,2238.2,PayPal,"400 Morgan Meadows Apt. 641
Allenmouth, DE 81149",24,Pending
5159,204,37,2024-03-22,19,857.52,16292.88,1019.07,Credit Card,"0697 Thompson Centers
East David, IN 38325",50,Pending
4753,152,142,2024-02-14,98,209.93,20573.14,1986.32,PayPal,"648 Robbins Loaf Apt. 414
New Makayla, AZ 30166",44,Completed
4148,907,164,2024-01-18,8,580.02,4640.16,199.67,Credit Card,"1701 Turner Lakes Apt. 055
Port Jamesborough, AK 92791",17,Cancelled
8834,685,61,2024-05-29,36,284.84,10254.24,334.83,PayPal,"13116 Schaefer Corner
Katherinechester, DE 07213",14,Pending
1931,694,478,2024-01-20,76,98.92,7517.92,108.23,Debit Card,"45713 Paul Wall Suite 071
Kellieport, AR 73170",26,Cancelled
3886,790,483,2024-05-17,74,895.33,66254.42,2455.06,Bank Transfer,"2362 Parks Knoll Apt. 262
West Tylerhaven, NV 50005",16,Completed
3773,626,380,2024-06-11,76,395.61,30066.36,1282.63,Bank Transfer,"1722 Miguel Extensions
Heatherstad, DE 80625",40,Cancelled
9172,57,66,2024-06-04,50,939.15,46957.5,1955.63,PayPal,"12395 Scott Cliff Apt. 855
West John, GA 57800",32,Cancelled
6025,876,427,2024-02-24,57,771.93,44000.01,588.0,Bank Transfer,"980 Scott Village
East Toniton, ND 85426",14,Cancelled
3306,290,234,2024-03-11,53,88.28,4678.84,216.29,PayPal,"8896 Randy Points Suite 200
Guyton, CA 90330",26,Completed
1435,568,20,2024-04-08,40,819.6,32784.0,1284.02,PayPal,"PSC 1353, Box 0430
APO AA 64898",41,Cancelled
1621,96,417,2024-05-07,87,864.47,75208.89,4685.64,Debit Card,"29510 Jones Divide
Brownside, MS 97740",26,Pending
3732,576,321,2024-04-01,28,679.85,19035.8,576.85,PayPal,"9410 Daniel Well Apt. 401
South Jonathanside, OK 26539",23,Pending
